review_id,review_title,stars,review_date
4055629,Nottinghill Portobello  Artist Flat,5,2012-10-06
25329416,Quiet Pink Studio in the PIJP area,3,2013-11-03
21705849,Quiet Apt,2,2014-11-27
41133812,Bonito estudio en pleno centro,3,2012-05-08
11372151,Great Light-filled Alberta Arts Rm,1,2014-11-19
20417380,LARGE HOME FOR GROUP ACCOMMODATION,1,2013-11-07
10787310,Private room - Central London,5,2013-06-02
37085487,Privacy + Free Beer,4,2014-06-27
24326991,Light 2 bedroom in Notting Hill,4,2014-10-19
28951458,Leidse Square New Luxury Appartment,5,2013-08-06
22408370,In the heart of Venice - Rialto 3,3,2014-04-16
12792771,Massive Apartment in West Village,2,2013-08-22
32482805,Bright loft-like 1 BR-pets ok! Pkg,4,2014-06-17
7568387,Hollywood Furnished Private Bedroom,1,2013-02-01
9329281,FANTASTIC TIMES SQUARE ONE BEDROOM,5,2013-12-03
13983366,30 Day Rental Starting Nov 2015,3,2013-02-25
38360407,Curved wall Studio ST4 with Kitchen,2,2013-12-31
10761193,On Street,3,2014-06-11
33973256,Private room4 historical house,1,2013-03-30
40294978,Dupont Private Room Meridian Manor,1,2012-09-25
22750130,Lively home+good vibes+great F'hain,5,2013-03-23
22419996,Exposed Brick SoHo Loft,4,2014-11-17
13482906,Apartamento nuevo Madrid centro,4,2013-04-23
37847700,Prime location near BigBen Victoria,5,2014-02-02
20002031,Typical Venetian house on the canal,3,2014-05-22
34551311,2-room flat | BERLIN-Friedrichshain,2,2014-07-16
41130306,Lovely Apt in Lakeview,4,2012-02-09
16153533,Guest Room - Javier Azul,1,2012-06-12
16958125,Your Home in the City Center!,5,2012-06-26
42823968,Grand Brownstone Owner's Duplex,3,2013-04-25
43930287,Corner Loft Amazing Views! Downtown,2,2012-03-31
35333712,Modern & Comfy in LA!!!,3,2012-07-27
17253757,In the Must-See Center of Manhattan,1,2012-04-02
25696315,Sunny Bernal Heights Apartment,1,2013-12-17
4885439,2 rooms; private entrance & bath!,5,2012-12-14
33573902,The true Amsterdam feeling!,4,2013-03-29
28556649, ONE BEDROOM + DEN CONDO,4,2012-04-07
38753386,Luxury Designer Condo Pac Heights,5,2012-08-30
8044495,Nice private room - Upper Manhattan,3,2012-04-07
18369148,cozy 1BR by C Park,2,2013-11-20
26752487,Heart of Xberg between Park & Canal,4,2013-06-09
12058804,Comfy & Private 2nd Floor Suite,1,2013-06-30
15672814,Canal house Keizersgracht 3rooms 4p,5,2013-06-07
25768114,Charming apartment Paris Marais,3,2012-08-01
17543666,Tranquil 2BR Suite w/ Private Bath,2,2012-01-03
15538938,Big Room|Free Bikes&Parking|Wifi&TV,3,2013-03-05
29653585,Sunny Renovated Studio On 14 Street,1,2012-03-15
8043769,Authentic 4000 sqft  4 bedroom Loft,1,2013-08-23
37896961,Spacious double w/ own bathroom,5,2013-05-12
